likes;retweets;replys;text
0;0;0;Ich, als #Klimaleugner werde mich in 50 Jahren zurücklehnen, feststellen, dass die Erde noch nicht aufgrund des #Klimawandels untergegangen ist und darüber lachen, welche Idioten die #Gruenen gewählt haben.
3;1;0;Was für ein Beamten  #Asyl Sumpf in Merkelschland. #Abschiebung von schwerstkriminellen und verurteilten Messermörder dem Iraker Yousif A. (22) wurde seit zwei  2 Jahren verpennt. #BAMF #Seehofer #Refugees #Flüchtling #Messer #Chemnitz   @BIL https://t.co/enrEjcAEa2 via @welt
3;3;0;Kein Geld für die Diakonie !! https://t.co/xXkqaNfxPd
14;0;0;So, den Kasten mach ich noch leer und dann gehe ich schlafen, Aller!
14;0;0;Wenn man sich von GF trennen will, aber das Coom sich staut https://t.co/gW9ZH9HSst
14;4;11;"Endlich mal ein Hashtag, für den es sich lohnt, auf die Straße zu geh... äh fahren.
#FridaysForHubraum"
8;4;0;"Nachtigall ick hör dir trappsen!

Jetzt sollte langsam dem letzten ein Licht aufgehen wohin die Reise mit der ""Scheinalternative"" hingeht. https://t.co/AEs10X89FU"
8;0;0;Es ist schon ein komisches Gefühl den Leuten in der Mensa zuzuhören. Man spitzt die Ohren, wenn sie über ihre Betrügereien sprechen und dann das Thema auf etwas langweilig Alltägliches wechseln. Studenten sind wahrlich die niedrigste Lebensform.
52;0;12;Na, organisiert ihr wieder Hass im Netz, ihr Nazi-Trolle?
52;10;14;Die Gründe sind schnell erklärt: Klassische Arbeiter (vereinfacht ausgedrückt) bzw. sog. Proletariat werden als rassistisch und antiemanzipatorisch wahrgenommen, weil diese sich mit den weltbürgerlichen Ideen universitärer Linker nicht identifizieren können.
2;0;0;"Der Linksradikalismus frisst seine Kinder.
#Lifeline #Seenotrettung #SeaWatch3

https://t.co/6yRCYCdh3G"
0;0;0;@L4nc3_4_l0t @sixtus Aua-nun machen sie den Tweeter für einen Link vom BKA verantwortlich? Implizieren Sie immer sowas,um Wahrheiten zu verdrängen?
0;0;0;Dann wird sich die Politik bald an solchen Umfragen orientieren, gegen alle gegenteiligen Beteuerungen. https://t.co/SWf3M9Nj4F
284;80;0;"""Die Bauern haben von eurer Politik die Schnauze voll!"", sagt unser agrarpolitischer Sprecher Stephan @AfDProtschka &amp; fordert eine unbürokratische Unterstützung der Landwirte sowie ein Ende der Tiertransporte ins Ausland, bei denen das Tierwohl nicht garantiert werden kann. #AfD https://t.co/jrMBdCEHU2"
192;26;0;"Warum Menschen zum Italiener essen gehen: Wegen des Essens

Warum Fler zum Italiener essen geht: https://t.co/Ipw6BNICPx"
1;0;0;Diese Stadt mit ihrem bescheuerten Bürgermeister ist nicht mehr zu helfen! Deswegen, laßt euch von den Flüchtlingen ficken! https://t.co/XebqhvH040
0;0;0;Machtpoker mit Russland: Alien vs. Predator http://t.co/eU0BAK0CZZ #Putin #Platzeck #Ukraine #Merkel
0;0;0;@m_a_i_k_b Und was macht man da so dagegen? Selbstverständlich! Eine Utopie umsetzen. 😂#PopCornFestival https://t.co/Tdn9qcaETi
4322;1913;117;Best thing on net... #CROENG #ENGCRO https://t.co/sSd77bvmg8
0;4;0;"Millennials sind keine Ökos, sondern ärmer als ihre Eltern. DDR 2.0 + Roboter ist meine Diagnose. 
https://t.co/R0RbEr5exs"
0;0;0;"@Timo_Schaeller naja @Timo_Schaeller kritische Stimmen mag der Bodo nicht😂😂
#BodoamBoden"
0;0;0;@EliteZocker @BegerSven Die CDU und SPD haben gar nichts aufgebaut. Allerhöchstens aufbauen lassen. Du hast leider noch gar nichts verstanden. Btw Er hat nicht für die Rechten Parteien propagiert. Du hast anscheinend auch nicht verstanden, was Propaganda bedeutet.
45;25;8;#Dresden vor 75 Jahren: In der Nacht vom 13. auf den 14. Februar 1945 begannen alliierte Flugzeuge, die sächsische Metropole zu bombardieren und zerstörten die Innenstadt weitgehend. Historische Bilder aus dem SZ-Archiv. https://t.co/ROeI6anj1n
0;0;0;Ein Afrikaner klärt die Deutschen über ihre kriminellen Gäste aus Nordafrika auf https://t.co/Os4K8tKL4O
42;26;4;"So liebevoll, unsere Pflegestellen ❤️
Da kann sich ein Mini-RUDI, der in Bucov irgendwann unter die Räder gekommen wäre, doch so richtig wohlfühlen.

RUDI sucht noch immer sein Zuhause:
https://t.co/bDcuDbBKQF https://t.co/i9UxmDjn9x"
0;0;0;"@Kanone_00 So ist es, im Grunde meint diese Else: ""Hosen runterlassen ist nun in Europa angesagt."""
0;1;1;@LorenzMaroldt @SawsanChebli @welt Die Reaktionen zeigen nichts weiter, als das großer Teil der Bevölkerung die Schnauze voll hat, von perfider Hetze ala Chebli, Stegner und Konsorten. Diskurs nicht möglich, da sich alle feige verweigern. Da braucht man sich über derartige Reaktionen nicht wundern.
328;135;0;"Unter Juristen gelten #Staatsanwälte nicht als die Hellsten. Doch selbst Staatsanwälten dämmert mittlerweile:
""Rechtsstaat ist nicht mehr funktionsfähig""
""Die lachen uns aus.""
Chapeau!
https://t.co/wluhdnVUXh #lanz"
0;34;0;Steuerzahlerfinanzierter, abgehobener Journalist hetzt gegen Partizipation des Volkes, das ihn finanziert. #DLF https://t.co/D0Ob0igU3o
0;26;0;Man wird diese Strukturen der #Stasi genauestens untersuchen-um sie dann zu übernehmen. Man wird sie ein wenig adaptieren, damit sie zu einer freien westlichen Gesellschaft passen. Die Störer wird man nicht unbedingt verhaften, aber brandmarken und ausgrenzen. #BärbelBoley https://t.co/kUnvA3UvtM
0;0;0;"@Gernot95885725 @NorbertBolz Was für eine Systemfrage stellt denn die AfD? 
Wenn, dann will sie die Postdemokratie zugunsten echter Demokratie abschaffen."
1;0;0;@lafeeduforet @JosefinePaul Oooh man!!!🙄 Ja wir foltern ja auch unsere armen Kinder! Was seid ihr für ne Truppe! Warum sind eigentlich die Kinder der Muslime oft so brutal?? Da werden Schwestern getötet wegen der Familienehre usw. Was läuft da falsch?Schafft da mal Ordnung!
3;0;0;"@SteinbachErika Sie hat ein Herz aus Stein.
Aber die Geld - Elite liebt sie."
1;0;0;@ndr Die sogenannten Aktivisten können auch gerne in die Krisengebiete fliegen und vor Ort Hilfe leisten, aber da sind sie sich zu fein für. Immer von anderen vordern !!!
4;1;0;@gerhard_heilig @GogolLafit Genaueres könnte die Bevölkerung nur beunruhigen.
279;88;0;"In #Thueringen werden derzeit ""Verabredungen"" zwischen Rot-Rot-Grün und CDU getroffen.
Ich fühle mich irgendwie an mafiöse Zustände erinnert."
12;19;0;"💥 ZENSUR

Twitter hat das Konto von @BreakingNLive gesperrt, nachdem sie diesen Artikel gepostet hatten. ⬇️ https://t.co/cxkOUdeI9c"
0;0;0;jen aka xPoison
0;0;0;#Lindnergate https://t.co/sCNQaHd4uD
14;0;0;@Ralf_Stegner Ähnlichkeiten zu den Zukunftsaussichten der SPD sind reiner Zufall 😉!
446;353;0;"Den #Grünen kann die Flutung Deutschlands nicht schnell genug gehen: Sie fordern die ""verbindliche Umsetzung"" des #Migrationspakt noch bevor er unterschrieben ist!
https://t.co/xOBsBqCqap"
1;3;0;Schreckliches Verbrechen? Leiche von vermisster Rentnerin in Keller gefunden https://t.co/4vlsz139hK
39;21;0;"Anlächeln, freundlich sein, zu Kaffe einladen, stimmt mehr Nazi geht nicht.- Und hier haben wir auch gleich eine deutliche Abgrenzung zu solchen Kommunisten, Gesicht (lach) zur Faust geballt, dogmatisch diskutieren und den Kaffee am beste selbst „saufen“.
https://t.co/9LZG6vKbtf"
7;0;0;"@tagesschau Wen meint dad Kind mit ""uns""? Ein Wochenende ohne Smartphone und Laptop und wir sprechen noch mal...😂🤣"
3;1;1;@kelliwardaz @realDonaldTrump The google commercial made me cry!
0;0;0;@AliceWo18626168 @Graubaer1953 Zu 90 % eine treffende wie selbstbewusste Analyse. KEIN LAND MÖCHTE DERZEIT mit DEUTSCHLAND tauschen.
0;68;0;"Wer die #SPD wählt, wählt Linksradikale!

Der SPD-Bürgermeister von #Bremen, Carsten #Sieling, will nach der #Bürgerschaftswahl eine Koalition mit den Grünen und notfalls auch mit der linksradikalen SED- und Stasi-Partei DIE LINKE eingehen. 

https://t.co/hn3sWQWhlP"
0;0;0;@SoenkeRix Gilt ähnliches auch für Parteien, die mit der Nachfolge-Partei der SED koalieren? #mitlinkenregieren
24;2;0;"@ThomasWalde Ich freu mich schon richtig auf die ""Kramp-Karrenbauer-muss-weg!"" Rufe😂"
831;427;0;"Bitte anschauen:
Über angebliche syrische Putzfrauen und versagende Leitmedien!
#TrauDichDeutschland: #AfD
https://t.co/YmIG2F5v6h"
5;3;0;"#futschi Die Rezession hat begonnen; Merke es bei einem Logistik-Projekt derzeit extrem; Metall- und Elektroindustrie in #BaWü produziert deutlich weniger! D.h. Deutlich weniger Fahrzeugteile gehen nach 🇮🇹 und deutlich weniger Schrott und Aluminiumreste fallen an https://t.co/nDf3bnoWFe"
0;0;0;"@DrGrandMal @flower_riot0711 @nbardEff @_nasir_ahmad_ Jeder der nicht deiner Meinung ist, ist automatisch ""rechtsradikal"". Ich habe das schon verstanden. 🙃"
7;1;0;Mal abwarten, ob mich lieben Anhalter die liebe @Friedadiezweite und die liebe @Yuma_lein mitnehmen, wenn sie vorbeifahren🤣. #Luxemburg #Luxembourg https://t.co/GQRAcStsOU
2;0;2;"@JoergRMayer @PatrickLenart @Eschentharrn @isabelledaniel @Becibaer @RoemeltA @StefanWeidenba1 @Martin_Sellner den ""absoluten Blödsinn"" kennen Sie ja gut.

Und nein, das Problem ist, dass durch solcherlei die alte Lagerbildung und die alten Themen stabilisiert werden.

Es gibt begrenzte Aufmerksamkeitsressourcen, das sollten Sie bedenken"
0;0;0;Wenn dieser Herr schon absurderweise in ein Ministeramt gehoben wird, sollte er durch diesen Schnellkurs wenigstens einen kleinen Eindruck von der Wirklichkeit bekommen, die er so gern mit arroganten Sprüchen ignoriert. https://t.co/Re0lxQJS3m
0;0;0;Die beste Alltagshoelle, in der wir je gelebt haben. https://t.co/VduRjpOHxX
12;9;1;UNFASSBAR und total losgelöst, der #Merkel Minister will Milliarden Euro unserer Steuern an die Griechen ausschütten. #SPD #Groko @BILD https://t.co/gT279WGdXO
1198;419;0;"""Merkel blockiert harte Grenzkontrollen"" titelt https://t.co/c9A9B2k89v und zitiert dazu einen Spitzenbeamten : „Sie kämpft selbst bei dieser Epidemie noch um ihr Erbe als Kanzlerin der offenen Grenzen.“  Geht Ideologie und Machterhalt über Menschenleben? https://t.co/gM6UTaFZnt"
1;0;0;@keeprespect79 Heisenbergsche Unschärferelation, der Mond ist auch nicht da wenn man die Augen zu macht. 😎
