likes,retweets,replys,text,likes2,retweets2,replys2,text2
0,0,0,Ich als #Klimaleugner werde mich in 50 Jahren zurücklehnen feststellen dass die Erde noch nicht aufgrund des #Klimawandels untergegangen ist und darüber lachen welche Idioten die #Gruenen gewählt haben.,166,188,0,Ich bin wirklich entsetzt! #Stürzi soll weggesperrt werden weil er sich unermüdlich auf friedlichen Demos und zum Wohle des deutschen Volkes um Aufklärung bemüht! #Deutschland, #Merkel &amp Co: Schämt euch alle. #freeStürzenberger #JetztErstRecht
3,1,0,Was für ein Beamten  #Asyl Sumpf in Merkelschland. #Abschiebung von schwerstkriminellen und verurteilten Messermörder dem Iraker Yousif A. (22) wurde seit zwei  2 Jahren verpennt. #BAMF #Seehofer #Refugees #Flüchtling #Messer #Chemnitz,1936,532,0,Die Säuberung von unerwünschten  Elementen in der CDU geht weiter: Jetzt also die Werte-Union. Heil Dir  Kanzlerin! Wir folgen Dir in den Untergang!
3,3,0,Kein Geld für die Diakonie !!,20,10,0,@IlhanMN You Ilhan Omar Rashida Tlaib are #Islamists.Your plan is to transform the United States which you hate from Freedom and Democracy to Sharia Law.Because Leftists welcome your #Antisemitism you're dangerous.Honest good Pro-American #Immigrants are the opposite of you.
"14,0,0,So, den Kasten mach ich noch leer und dann gehe ich schlafen, Aller!,863,243,0,Warum beobachtet #Verfassungsschutz nicht #Merkel die nach wie vor ""Herrschaft des Unrechts"" an dt. Grenzen zulässt? Warum nicht #SPD in NRW, die gerade verfassungsfeindl. Antrag einbringen wollte?Die Beobachtung von #AfD-Politikern ist pol. motiviert!"
14,0,0,Wenn man sich von GF trennen will, aber das Coom sich staut,1101,236,0,Guten Morgen! Der Rückzug von @AKK löst das Problem der @CDU nicht: Die Partei wurde von #Merkel komplett entkernt. Die CDU muss Merkel stürzen sonst geht der Niedergang ungebremst weiter. Zeit für ein konstruktives Misstrauensvotum!
"14,4,11,Endlich mal ein Hashtag, für den es sich lohnt, auf die Straße zu geh... äh fahren.#FridaysForHubraum,350,154,0,""Lebenswerk"" eines Abtreibungsarztes: Mehrfach entzogene Lizenz er macht dennoch weiter. ""Lebensbilanz"": Zehntausende von #Abtreibungen. Sein Nachlass: 2246 abgetriebene Kinder auf seinem Grundstück gefunden- darf man solche Menschen als krank bezeichnen?"
"8,4,0,Nachtigall ick hör dir trappsen! Jetzt sollte langsam dem letzten ein Licht aufgehen wohin die Reise mit der ""Scheinalternative"" hingeht.,1000,340,0,Die Übergriffe zum Jahreswechsel zeigen die Gefahr für die Innere Sicherheit geht vornehmlich von #Linksextremisten Gruppen junger Männer mit Migrationshintergrund islamischen Fanatikern und der #OK arabischer Großfamilien aus. Da hilft kein Schönreden."
8,0,0,Es ist schon ein komisches Gefühl den Leuten in der Mensa zuzuhören. Man spitzt die Ohren wenn sie über ihre Betrügereien sprechen und dann das Thema auf etwas langweilig Alltägliches wechseln. Studenten sind wahrlich die niedrigste Lebensform.,338,179,0,Die #Kanzlerin kondoliert #Trump ansonsten ihr Erzfeind. Den Angehörigen der Opfer gelte Mitgefühl und Anteilnahme aller Deutschen. Für diese findet sie nach den #Attentaten_von_Frankfurt_und_Stuttgart indes #kein_Wort_des_Trostes aus ihrem Urlaub.
52,0,12,Na organisiert ihr wieder Hass im Netz ihr Nazi-Trolle?,572,201,0,Statt klare Ansage: Kommt nicht an die Grenze kehrt um! Schon wieder unverantwortl. #Willkommenspolitik-Signale. Schlepper &amp Schleuser reiben sich die Hände. Und Länder wie #Griechenland haben die deutsche Politik satt bis an den Hals. #Merkel #Pistorius
52,10,14,Die Gründe sind schnell erklärt: Klassische Arbeiter (vereinfacht ausgedrückt) bzw. sog. Proletariat werden als rassistisch und antiemanzipatorisch wahrgenommen weil diese sich mit den weltbürgerlichen Ideen universitärer Linker nicht identifizieren,,,, können.
2,0,0,Der Linksradikalismus frisst seine Kinder.#Lifeline #Seenotrettung #SeaWatch3,930,307,0,Eigentlich könnte Coronavirus die Stunde der AfD sein wenn sie jetzt jegliche Polemik beiseite lässt.Internetseiten mit Infos klare Forderungen an die Regierung Handlungsvorschläge.Kaum eine Partei hat mehr studierte Politiker mit 'richtigen' Berufen. Zeigt was Ihr könnt.
